semana_epidemiologica,uf,confirmados_num,confirmados_%
32,Maranhão,17,0.2
32,Minas Gerais,21,0.3
32,Pernambuco,34,0.4
32,Amapá,43,0.6
32,Rio Grande do Sul,37,0.5
32,Santa Catarina,110,1.4
32,São Paulo,772,10.0
32,Goiás,8,0.1
34,Bahia,7,0.1
34,Tocantins,1,0.0
34,Mato Grosso,1,0.0
34,Ceará,3,0.0
34,Alagoas,3,0.0
34,Amazonas,4,0.1
34,Mato Grosso do Sul,7,0.1
34,Distrito Federal,5,0.1
34,Rondônia,6,0.1
34,Sergipe,8,0.1
34,Goiás,8,0.1
34,Maranhão,17,0.2
34,Rio de Janeiro,1320,16.9
34,São Paulo,784,10.0
34,Paraná,311,4.0
34,Santa Catarina,110,1.4
34,Pará,5084,65.0
34,Rio Grande do Sul,37,0.5
34,Pernambuco,34,0.4
34,Minas Gerais,21,0.3
34,Amapá,51,0.7
35,Bahia,7,0.1
35,Mato Grosso,1,0.0
35,Ceará,3,0.0
35,Alagoas,3,0.0
35,Amazonas,4,0.1
35,Mato Grosso do Sul,7,0.1
35,Tocantins,1,0.0
35,Distrito Federal,5,0.1
35,Rondônia,6,0.1
35,Sergipe,8,0.1
35,Amapá,57,0.7
35,Maranhão,17,0.2
35,Pará,5106,65.0
35,Rio de Janeiro,1325,16.9
35,São Paulo,785,10.0
35,Paraná,311,4.0
35,Goiás,8,0.1
35,Rio Grande do Sul,37,0.5
35,Pernambuco,34,0.4
35,Minas Gerais,21,0.3
35,Santa Catarina,110,1.4
36,Bahia,7,0.1
36,Mato Grosso,1,0.0
36,Tocantins,1,0.0
36,Alagoas,3,0.0
36,Ceará,3,0.0
36,Amazonas,4,0.1
36,Distrito Federal,5,0.1
36,Rondônia,6,0.1
36,Mato Grosso do Sul,7,0.1
36,Goiás,8,0.1
36,Sergipe,8,0.1
36,Maranhão,17,0.2
36,Rio de Janeiro,1329,16.8
36,São Paulo,791,10.0
36,Paraná,311,3.9
36,Santa Catarina,110,1.4
36,Pará,5166,65.2
36,Rio Grande do Sul,37,0.5
36,Pernambuco,34,0.4
36,Minas Gerais,21,0.3
36,Amapá,60,0.8
37,Bahia,7,0.1
37,Mato Grosso,1,0.0
37,Ceará,3,0.0
37,Alagoas,4,0.1
37,Amazonas,4,0.1
37,Mato Grosso do Sul,7,0.1
37,Tocantins,1,0.0
37,Distrito Federal,5,0.1
37,Rondônia,6,0.1
37,Sergipe,8,0.1
37,Amapá,64,0.8
37,Maranhão,17,0.2
37,Minas Gerais,21,0.3
37,Pernambuco,34,0.4
37,Rio Grande do Sul,37,0.5
37,Santa Catarina,110,1.4
37,Paraná,311,3.9
37,São Paulo,791,10.0
37,Rio de Janeiro,1330,16.8
37,Pará,5170,65.1
37,Goiás,8,0.1
43,Sergipe,8,0.1
43,Bahia,7,0.1
43,Ceará,7,0.1
43,Alagoas,3,0.0
43,Distrito Federal,5,0.1
43,Amazonas,4,0.0
43,Goiás,8,0.1
43,Rondônia,6,0.1
43,Mato Grosso do Sul,8,0.1
43,Santa Catarina,110,1.3
43,Minas Gerais,21,0.3
43,Pernambuco,34,0.4
43,Rio Grande do Sul,37,0.4
43,Amapá,115,1.4
43,Paraná,377,4.6
43,São Paulo,825,10.0
43,Rio de Janeiro,1340,16.2
43,Pará,5327,64.5
43,Mato Grosso,1,0.0
43,Maranhão,17,0.2
43,Tocantins,1,0.0
