"","Município","Confirmados","Novos Confirmados","Incidência /100 mil hab","Óbitos","Novos Óbitos","Mortalidade /100 mil hab"
"","Inhacorá","43","3","1931.7","1","0","44.9"
"","Santo Expedito do Sul","43","0","1850.3","1","0","43.0"
"","Aratiba","42","0","673.6","2","0","32.1"
"","Tavares","42","0","766.3","2","0","36.5"
"","Campo Novo","41","0","914.4","1","0","22.3"
"","Alto Feliz","41","0","1354.0","0","0","0"
"","Arroio do Tigre","41","0","306.6","1","0","7.5"
"","Sentinela do Sul","41","0","734.6","5","0","89.6"
"","Ernestina","40","0","1262.6","1","0","31.6"
"","São Vendelino","39","8","1738.7","2","0","89.2"
"","Santo Antônio do Palma","39","0","1832.7","0","0","0"
"","São Pedro das Missões","39","0","1941.3","0","0","0"
"","Gramado dos Loureiros","38","0","1825.2","0","0","0"
"","Cruzaltense","38","1","2073.1","2","0","109.1"
"","São Pedro do Butiá","38","2","1289.4","0","0","0"
"","Itapuca","38","0","1814.7","1","0","47.8"
"","Maratá","37","0","1375.0","0","0","0"
"","Vila Lângaro","37","0","1769.5","0","0","0"
"","Porto Mauá","37","0","1558.6","2","0","84.2"
"","Tiradentes do Sul","37","0","648.7","2","0","35.1"
"","Coronel Barros","37","0","1468.8","0","0","0"
"","Pirapó","37","0","1605.9","1","0","43.4"
"","Santo Antônio do Planalto","37","1","1832.6","1","0","49.5"
"","André da Rocha","36","0","2700.7","0","0","0"
"","Taquaruçu do Sul","36","0","1171.9","0","0","0"
"","Cândido Godói","36","3","580.8","0","0","0"
"","Vicente Dutra","36","7","770.9","1","0","21.4"
"","Amaral Ferrador","36","0","512.0","1","0","14.2"
"","Floriano Peixoto","35","0","1981.9","0","0","0"
"","Mormaço","34","0","1102.1","2","0","64.8"
"","Vale Verde","34","0","972.3","2","0","57.2"
"","São Valentim do Sul","34","0","1516.5","1","0","44.6"
"","Bozano","34","0","1601.5","0","0","0"
"","Nova Ramada","34","2","1516.5","0","0","0"
"","Vale do Sol","33","0","280.1","1","0","8.5"
"","Vista Alegre","33","0","1199.1","0","0","0"
"","Rolador","33","0","1420.6","0","0","0"
"","Tunas","32","0","700.4","3","0","65.7"
"","Mariana Pimentel","32","0","823.7","2","0","51.5"
"","Humaitá","32","0","672.0","0","0","0"
"","Monte Alegre dos Campos","32","0","991.9","1","0","31.0"
"","Itatiba do Sul","32","0","962.7","0","0","0"
"","Guarani das Missões","32","0","424.6","1","0","13.3"
"","Arambaré","32","0","893.6","1","0","27.9"
"","Maçambará","32","0","697.6","1","0","21.8"
"","Campos Borges","32","0","963.9","0","0","0"
"","Linha Nova","32","0","1867.0","0","0","0"
"","Nova Candelária","31","0","1149.0","0","0","0"
"","Chuí","31","2","462.4","0","0","0"
"","Turuçu","30","0","872.6","0","0","0"
"","Passa Sete","30","0","526.1","2","0","35.1"
"","Ilópolis","30","0","735.7","0","0","0"
"","Lagoa dos Três Cantos","30","0","1864.5","0","0","0"
"","Santa Margarida do Sul","29","3","1131.9","0","0","0"
"","Cerrito","29","3","476.1","0","0","0"
"","Capão Bonito do Sul","29","1","1753.3","1","0","60.5"
"","Coronel Pilar","28","1","1719.9","0","0","0"
"","Toropi","28","1","997.9","1","0","35.6"
"","Doutor Maurício Cardoso","27","0","593.5","5","0","109.9"
"","Gramado Xavier","27","0","624.3","0","0","0"
"","Mariano Moro","27","0","1329.4","0","0","0"
"","Áurea","27","0","759.7","0","0","0"
"","Erval Seco","27","0","390.6","0","0","0"
"","Almirante Tamandaré do Sul","27","0","1374.7","0","0","0"
"","Dois Irmãos das Missões","27","0","1332.7","0","0","0"
"","Itacurubi","26","0","750.4","3","0","86.6"
"","São João do Polêsine","25","0","979.6","0","0","0"
"","São Nicolau","25","0","474.8","1","0","19.0"
"","Novo Cabrais","25","0","595.8","0","0","0"
"","Santana da Boa Vista","24","2","296.4","2","0","24.7"
"","Sede Nova","24","0","825.6","1","0","34.4"
"","São Martinho da Serra","23","1","711.2","0","0","0"
"","Fagundes Varela","23","0","842.2","0","0","0"
"","Sério","23","0","1172.3","0","0","0"
"","Unistalda","23","0","983.7","0","0","0"
"","Boa Vista do Incra","23","0","883.6","0","0","0"
"","Nova Palma","23","0","353.2","1","0","15.4"
"","Alecrim","22","0","369.7","1","0","16.8"
"","Dilermando de Aguiar","22","1","729.9","2","0","66.4"
"","Sinimbu","22","1","216.3","0","0","0"
"","Braga","21","0","626.3","0","0","0"
"","Capão do Cipó","21","0","575.2","0","0","0"
"","Chuvisca","21","0","386.0","1","0","18.4"
"","Jaboticaba","20","0","524.9","0","0","0"
"","Silveira Martins","20","0","838.9","0","0","0"
"","Cristal do Sul","20","0","702.5","0","0","0"
"","Arroio do Padre","20","0","681.0","0","0","0"
"","Três Arroios","19","0","712.1","0","0","0"
"","Quatro Irmãos","18","0","973.5","1","0","54.1"
"","Jacuizinho","18","0","668.6","0","0","0"
"","Barra do Rio Azul","17","0","1005.9","0","0","0"
"","Novo Machado","17","0","511.6","0","0","0"
"","Porto Vera Cruz","17","0","1250.0","0","0","0"
"","Aceguá","17","1","346.9","0","0","0"
"","Dona Francisca","16","0","526.1","1","0","32.9"
"","Segredo","16","0","215.6","0","0","0"
"","Boa Vista do Cadeado","16","0","647.8","0","0","0"
"","Alto Alegre","16","0","976.8","0","0","0"
"","Coqueiros do Sul","15","0","650.5","2","0","86.7"
"","Dom Pedro de Alcântara","15","0","591.9","1","0","39.5"
"","Pouso Novo","14","0","854.2","3","0","183.0"
"","Bom Progresso","14","0","720.9","0","0","0"
"","Paraíso do Sul","13","2","170.8","0","0","0"
"","Cerro Grande","13","0","562.5","1","0","43.3"
"","Relvado","12","0","574.2","1","0","47.8"
"","Engenho Velho","11","0","1063.8","0","0","0"
"","Dezesseis de Novembro","11","0","453.2","1","0","41.2"
"","Mato Queimado","11","0","667.5","2","0","121.4"
"","Herveiras","11","0","364.5","1","0","33.1"
"","Nicolau Vergueiro","10","0","594.5","2","0","118.9"
"","Vitória das Missões","10","0","319.2","0","0","0"
"","Centenário","10","0","345.9","0","0","0"
"","Carlos Gomes","10","0","726.2","0","0","0"
"","Estrela Velha","10","0","273.6","0","0","0"
"","Canudos do Vale","9","0","524.5","0","0","0"
"","Muitos Capões","9","0","284.6","0","0","0"
"","Lagoão","9","1","139.5","1","0","15.5"
"","Novo Xingu","9","0","523.6","1","0","58.2"
"","Nova Boa Vista","8","0","450.7","0","0","0"
"","Sete de Setembro","8","0","406.1","0","0","0"
"","Boa Vista das Missões","7","0","333.7","0","0","0"
"","São Vicente do Sul","7","0","80.3","2","0","22.9"
"","Forquetinha","7","0","290.2","0","0","0"
"","Jari","7","0","199.8","1","0","28.5"
"","Tupanci do Sul","7","1","475.5","0","0","0"
"","Esmeralda","6","0","182.8","1","0","30.5"
"","Caibaté","6","0","123.8","1","0","20.6"
"","Coqueiro Baixo","6","0","399.7","0","0","0"
"","União da Serra","5","0","433.3","0","0","0"
"","Pinhal da Serra","5","0","257.6","0","0","0"
"","São Valério do Sul","4","0","146.7","0","0","0"
"","Ivorá","4","0","209.4","0","0","0"
"","Mata","4","0","82.9","0","0","0"
"","Ipiranga do Sul","4","0","211.8","0","0","0"
"","Ibarama","4","0","90.8","0","0","0"
"","Novo Tiradentes","4","0","180.9","0","0","0"
"","Garruchos","4","0","136.8","0","0","0"
"","Cerro Branco","3","0","64.0","0","0","0"
"","Lagoa Bonita do Sul","2","0","68.9","0","0","0"
"","Pedras Altas","2","0","100.9","0","0","0"
"","Pinhal Grande","1","0","23.0","0","0","0"
"","Ubiretama","1","0","49.6","0","0","0"
