 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor total por Município e Ano processamento
Período:Jan/2008-Ago/2020
"Município";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"Total"
"150520 Oeiras do Pará";263028,40;8750,88;64674,49;328378,95;319927,89;359656,73;447178,49;593850,98;479974,17;523495,54;588025,07;561146,08;390744,51;4928832,18
"150530 Oriximiná";1182796,56;1672690,94;1624187,34;1264660,08;1549555,50;1583946,58;1769329,27;1935267,28;1897710,32;2174390,38;2406404,72;2182466,11;1048988,44;22292393,52
"150540 Ourém";429596,34;354111,99;378839,71;397003,98;254111,74;274467,25;278251,24;341982,17;543473,57;669099,94;728632,70;678661,39;293917,08;5622149,10
"150543 Ourilândia do Norte";712626,90;1229731,21;1104993,21;1068090,11;1217192,08;1278504,40;1039924,33;1070452,88;996216,52;1444484,94;1683405,24;1504198,64;805440,13;15155260,59
"150548 Pacajá";211231,39;492272,77;338868,41;656487,88;535491,70;736378,63;566638,69;535748,47;486146,22;579181,81;768278,23;784908,29;318348,86;7009981,35
"150549 Palestina do Pará";180546,49;249923,40;231255,33;184367,02;81994,24;51147,71;128618,97;87307,28;33406,68;105207,45;125374,70;167939,45;82347,13;1709435,85
"150550 Paragominas";2649044,61;2621920,57;2362664,65;2491419,58;2343990,66;2412524,51;2147254,32;3149994,86;4102446,02;4733215,76;5277196,50;5866454,33;4288521,94;44446648,31
"150553 Parauapebas";3514643,58;3396897,77;3007881,10;3294117,03;3134111,50;3123494,19;3558486,95;3106996,69;3883084,11;4918341,23;5145031,01;5416096,86;4390714,48;49889896,50
"150555 Pau D'Arco";288793,46;182036,40;245399,10;284029,14;169202,89;181517,38;265663,40;194190,43;185816,49;161905,34;103585,02;120536,81;122531,49;2505207,35
"150563 Piçarra";189049,38;171178,35;267353,03;222198,17;133148,25;198476,83;174760,06;204259,35;190945,24;194167,74;185686,78;210956,65;95469,93;2437649,76
"150565 Placas";81395,49;275569,14;291795,29;447133,34;344864,73;429589,87;330603,82;495610,93;516277,37;508525,45;431164,45;394852,52;192698,03;4740080,43
"150570 Ponta de Pedras";19829,51;77755,85;112430,30;37296,50;83516,48;213294,86;294844,47;317087,11;302529,51;328923,67;388776,33;381026,18;147638,44;2704949,21
"150580 Portel";590821,37;787589,47;848310,93;837385,30;864596,98;840479,40;671218,85;780595,81;812846,11;870353,80;842337,55;842924,75;444580,67;10034040,99
"150590 Porto de Moz";778691,29;1330723,22;969821,06;793483,56;729688,58;711744,44;612001,64;662008,73;544274,92;904465,09;856334,41;839191,32;474642,58;10207070,84
