 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor total por Município e Ano processamento
Período:Jan/2008-Ago/2020
"Município";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"Total"
"312610 Formiga";1558481,73;1747331,55;1690273,73;1733297,42;1683529,11;3241620,26;6255779,68;5096973,48;4703947,95;4652165,08;3645954,71;5552667,17;3838309,12;45400330,99
"312670 Francisco Sá";505939,28;554925,26;723065,31;551729,44;660782,54;567544,15;483276,17;469026,57;463666,21;298909,34;880784,66;745433,76;342177,55;7247260,24
"312690 Frei Inocêncio";86268,34;178183,94;264464,51;280737,85;213446,27;109141,60;153680,80;139549,15;-;6142,20;17030,98;-;-;1448645,64
"312710 Frutal";1200596,96;1479160,72;1381093,90;1346972,86;1379443,01;1481340,09;1534924,78;1327691,06;1198150,40;1336905,20;1245760,63;1137208,62;782228,87;16831477,10
"312730 Galiléia";118589,58;133953,67;128039,80;131734,07;142597,28;129308,72;133072,74;16191,97;-;-;-;-;-;933487,83
"312760 Gouveia";248097,92;257309,69;231509,68;238895,44;235495,15;206771,21;259027,94;224820,78;193606,35;212411,01;167424,98;134284,26;118058,45;2727712,86
"312770 Governador Valadares";14511496,66;19297814,24;22573007,26;25761796,20;30673938,56;36172513,91;42949225,02;48059640,94;41298091,20;45513657,42;40998940,90;50960771,36;35537908,04;454308801,71
"312780 Grão Mogol";544747,31;546061,26;561883,27;547468,00;475865,75;434267,38;354285,88;396751,98;452005,43;472937,69;471350,20;601489,22;246765,19;6105878,56
"312800 Guanhães";1370711,50;1426128,37;961493,08;1289096,54;1415423,28;1422216,25;1884258,47;1646357,85;1660036,22;1577549,34;1626352,70;1881161,36;1189840,89;19350625,85
"312810 Guapé";271545,94;238481,70;225900,70;238084,42;217376,88;182947,79;159792,92;147614,95;118730,57;173562,92;106540,61;137777,88;79063,81;2297421,09
"312820 Guaraciaba";252389,87;208562,12;205011,30;172053,36;141660,88;120566,08;157722,08;140044,49;119258,40;174201,78;100010,76;53146,02;14843,53;1859470,67
"312830 Guaranésia";472796,43;449371,40;416119,46;365937,51;398698,73;437832,40;415442,11;412152,40;424299,89;423515,55;434341,85;416237,41;271328,81;5338073,95
"312840 Guarani";268839,91;287487,07;316303,05;312131,34;314306,67;327819,70;326307,39;318420,80;328711,27;325750,80;155224,72;-;-;3281302,72
"312860 Guarda-Mor";93224,68;95612,13;98087,76;86248,76;92404,82;133738,74;250256,77;160398,56;130719,01;135772,88;138714,92;97943,52;42384,11;1555506,66
"312870 Guaxupé";2218197,10;2879252,37;2842639,10;2848846,90;2872845,52;3027847,06;3227326,58;2843780,53;2906360,82;3323614,62;3221642,40;3450021,62;2250765,88;37913140,50
"312910 Gurinhatã";116603,86;117231,11;101738,55;119485,07;120607,34;119856,18;87936,89;61000,74;64248,99;59379,30;60689,85;53752,62;39280,27;1121810,77
"312940 Ibertioga";349807,49;378888,56;350078,72;267633,06;170461,92;92107,64;80989,95;23173,14;91422,27;72701,85;74893,31;51953,02;52750,04;2056860,97
"312950 Ibiá";255998,07;397755,25;358924,77;282893,69;221074,04;252212,06;235228,94;231598,33;245874,19;223529,17;208528,88;222283,56;137125,02;3273025,97
"312970 Ibiraci";133495,00;113816,26;119381,29;114929,80;106789,37;115210,54;59772,01;39655,14;13335,77;25567,50;29662,05;28527,13;5914,38;906056,24
"312980 Ibirité";963433,07;1084132,60;1009892,95;1010958,53;1176924,29;1521835,13;1639370,90;1618912,24;1906841,82;2514913,99;4213142,37;5572638,97;2014078,67;26247075,53
"313030 Iguatama";159826,38;154757,09;167966,98;171898,69;172717,75;225326,00;152648,08;119846,64;27478,25;75544,92;106122,40;97412,40;39905,17;1671450,75
"313050 Ilicínea";221190,82;250240,67;222057,44;193766,09;225921,09;218221,81;215988,78;214982,30;219375,78;217348,20;239358,35;258607,78;115134,02;2812193,13
"313090 Inhapim";797289,30;655227,95;622727,91;771324,64;781239,33;1010801,54;1325160,05;467402,22;318454,26;580375,07;561657,50;342864,27;165648,83;8400172,87
"313100 Inhaúma";3438,03;-;-;-;-;-;-;-;-;-;-;-;-;3438,03
"313120 Ipanema";633210,03;668679,97;711450,57;626869,19;694985,14;630607,02;4296944,26;3611248,12;787260,08;474073,51;857884,56;984603,01;347307,03;15325122,49
"313130 Ipatinga";23582148,53;32224584,30;31028799,95;34396439,79;35373616,60;37419636,50;43091537,89;39202797,84;43987132,33;43975086,56;45562056,23;49459120,34;33428733,77;492731690,63
"313140 Ipiaçu";78909,71;95842,92;108467,44;100865,95;32480,71;-;-;-;-;-;-;-;-;416566,73
"313150 Ipuiúna";81956,73;76430,70;79641,32;77484,82;76110,22;89044,19;90640,37;78212,65;68523,54;82038,97;60582,43;49459,76;45927,47;956053,17
"313170 Itabira";3782260,43;4976518,16;5336840,23;6006751,51;5778927,62;6580971,79;8070850,59;6985425,29;7178742,71;7544730,32;8592727,51;11807124,52;6282744,46;88924615,14
"313180 Itabirinha";355776,87;381696,43;384453,19;387110,21;385985,53;383494,26;388763,05;371557,70;363582,41;366205,73;362066,90;346322,78;223373,35;4700388,41
"313190 Itabirito";862047,46;791708,58;822645,29;807894,70;907863,48;908181,21;1218229,28;811765,00;833151,17;1071970,25;1006254,20;1117194,47;667516,42;11826421,51
"313210 Itacarambi";256193,71;408520,29;328589,23;314914,18;252786,46;257399,27;242658,39;280337,60;306959,68;314250,92;252683,31;196946,48;111030,01;3523269,53
"313220 Itaguara";360299,34;418897,26;465404,82;485618,75;451051,43;427494,37;509587,64;445865,94;457489,60;422049,27;420944,10;417133,72;278368,22;5560204,46
"313230 Itaipé";233406,27;235137,42;246192,74;242833,42;242542,37;205649,51;249493,36;250775,79;249585,06;240581,95;245473,38;199544,69;111784,66;2953000,62
"313240 Itajubá";5077637,36;6168691,85;6000720,78;7903843,22;9387357,15;10963953,33;13513734,18;16778683,21;17391136,34;17571557,40;17949174,97;16886580,40;12017013,57;157610083,76
"313250 Itamarandiba";918861,72;1058580,83;1037352,17;1161708,69;1109564,01;1106753,35;1122254,84;1118330,23;821915,54;992558,08;1042657,92;900591,40;572011,92;12963140,70
"313270 Itambacuri";837142,67;1025872,35;1117167,08;1310057,99;1303365,07;1404001,55;1677152,83;1632185,38;1715546,27;1581043,75;1544585,74;1523261,78;829285,03;17500667,49
"313290 Itamogi";262793,05;251967,14;233283,08;212072,54;229624,03;229376,65;229776,49;155696,97;91401,83;91812,98;82941,83;64090,39;-;2134836,98
"313300 Itamonte";361768,53;391530,43;364036,36;379668,13;461246,92;440802,97;512495,50;415345,34;424394,86;408654,47;402163,66;400260,39;208509,00;5170876,56
"313310 Itanhandu";515003,69;571710,90;545577,03;1118918,20;1424155,13;1108005,04;2118671,39;1351902,62;715339,19;752083,94;890678,46;1171863,95;479192,72;12763102,26
"313320 Itanhomi";341028,79;390595,40;377899,60;433283,30;399890,05;636076,63;908599,56;652155,14;483067,22;472291,33;468903,32;457216,91;205772,93;6226780,18
"313330 Itaobim";908314,75;1110727,27;1153148,49;1201034,13;1112003,60;1270843,84;1335746,24;1264211,07;1377847,56;1415785,89;1277437,62;1379002,76;865206,04;15671309,26
"313340 Itapagipe";104986,13;108519,18;100167,85;78623,00;64824,54;40568,87;6724,09;-;-;-;-;-;-;504413,66
"313350 Itapecerica";372869,94;409802,91;420701,33;445499,78;424128,40;368802,41;370915,71;394564,95;377107,78;429516,83;412495,35;413802,11;194994,81;5035202,31
"313375 Itaú de Minas";158810,61;169632,04;176091,17;161494,65;179794,81;162224,92;147716,92;157820,57;58274,72;63926,75;119976,73;195253,50;74428,16;1825445,55
"313380 Itaúna";2875272,38;3807904,27;3928626,48;3371968,08;3565628,28;3217869,09;4064460,73;3884374,66;4142864,18;4296191,05;4428070,02;5041216,82;2969964,00;49594410,04
"313420 Ituiutaba";4231046,80;4484096,50;4563740,84;4465490,02;4609152,32;4857721,21;5730947,59;5560333,52;4911440,23;4937825,95;5009757,35;5292110,87;3333407,17;61987070,37
"313440 Iturama";901638,02;943102,70;980629,96;892057,29;988644,11;1047340,03;1063078,65;1046976,83;1117552,92;721975,84;594279,95;882136,04;661215,64;11840627,98
"313460 Jaboticatubas";124931,52;144888,23;156181,51;152722,32;139770,26;149522,39;149918,47;151118,67;146537,60;148408,66;138051,33;145464,13;101336,51;1848851,60
"313470 Jacinto";769348,88;689443,64;724094,16;642562,33;639035,18;666283,25;634516,23;486280,00;603569,68;645337,41;756051,04;836528,74;295430,11;8388480,65
"313480 Jacuí";97179,51;63351,86;51768,94;43794,90;36889,73;5966,83;-;-;-;-;-;-;-;298951,77
"313490 Jacutinga";642123,91;825481,37;745373,43;723241,33;683241,19;593661,52;442539,22;511803,46;558174,87;510803,40;626000,28;602726,82;237646,15;7702816,95
"313505 Jaíba";452570,90;237883,37;246879,30;271750,15;342019,82;448683,75;391782,87;434660,08;483292,96;420497,78;429346,63;449848,94;232928,82;4842145,37
"313510 Janaúba";2884900,52;4115778,02;4876965,86;5007917,88;4723063,59;7585825,10;8024133,88;9115653,98;7552432,59;7738501,51;8048541,12;8061541,85;4965037,23;82700293,13
"313520 Januária";1181892,09;1351232,98;1062556,15;1343857,53;1266191,05;901641,54;1046386,59;727046,80;770844,24;1224528,31;1193007,22;1118883,88;442552,02;13630620,40
"313540 Jeceaba";75841,23;76701,51;82797,34;76976,14;58444,40;71540,49;68427,76;65487,45;66092,34;66874,80;64253,77;58259,34;31601,66;863298,23
"313550 Jequeri";144406,66;124071,67;2517,56;-;-;-;-;-;-;-;-;-;-;270995,89
"313580 Jequitinhonha";751151,70;814995,17;838411,98;856342,67;894817,24;1002400,67;974518,67;873943,29;732421,77;786433,22;821983,08;768622,36;265825,37;10381867,19
"313600 Joaíma";463041,17;508456,52;445390,33;450270,96;424334,03;417985,06;404784,97;378051,39;374427,67;371624,34;367509,31;361444,39;162911,57;5130231,71
"313620 João Monlevade";2751341,52;2826300,35;2302168,93;2576152,76;3717357,16;4455787,33;4871072,23;4581140,92;4635850,61;4617633,13;4779771,33;5032496,06;3203131,23;50350203,56
"313630 João Pinheiro";1052437,07;1219236,28;1082616,74;935625,85;579130,12;783784,58;1164910,59;1206093,93;1102219,13;1016971,46;1229125,07;1336058,56;660603,64;13368813,02
"313640 Joaquim Felício";99380,07;115357,87;128544,89;122657,91;123149,27;-;-;-;-;-;-;-;-;589090,01
"313650 Jordânia";146527,91;207817,03;192321,93;145443,48;199362,98;92910,57;138452,97;207057,04;206242,90;138759,33;145412,48;114397,46;76100,62;2010806,70
"313670 Juiz de Fora";59749665,31;74121554,39;77239539,19;89132004,71;92216189,62;92474685,88;93906510,48;91052849,90;96889612,13;99537156,54;101048200,90;107090445,11;65607924,49;1140066338,65
"313680 Juramento";11325,30;-;-;-;-;-;-;-;-;-;-;-;-;11325,30
"313690 Juruaia";220128,57;219249,66;208465,98;228080,29;243287,95;233097,63;229307,76;212216,94;203954,75;205628,91;225422,21;218579,38;122742,11;2770162,14
"313700 Ladainha";194527,52;169473,01;147770,08;164537,56;178060,64;158164,45;143107,60;143067,95;126913,45;154582,86;175094,94;187155,39;121473,86;2063929,31
"313710 Lagamar";41052,79;39864,29;41533,26;44560,37;50543,91;60108,91;64046,12;51201,35;62301,91;65085,63;71340,68;63940,13;30630,41;686209,76
"313720 Lagoa da Prata";981216,99;1134801,56;1225143,08;1382034,46;1315670,11;2260622,48;2959810,70;3012966,82;3291120,46;3323374,50;3437235,72;3099554,77;2467852,79;29891404,44
"313750 Lagoa Formosa";264102,42;282382,97;278844,43;303018,16;282134,10;305704,44;367815,72;330565,59;370214,93;356294,45;176909,48;229783,75;110701,44;3658471,88
"313760 Lagoa Santa";984230,40;900150,65;611382,51;803580,14;745147,33;743360,17;99870,74;-;60021,85;841597,46;873619,52;899082,45;493776,77;8055819,99
"313770 Lajinha";295814,30;323405,53;259710,21;86235,38;68849,56;149287,18;282688,83;297187,25;335061,91;364736,17;357596,21;343160,42;163428,49;3327161,44
"313780 Lambari";500270,20;552895,05;488483,41;490656,40;471411,78;430450,71;412913,14;443244,21;423936,41;412170,87;431205,45;441497,27;215784,63;5714919,53
"313790 Lamim";13880,62;13602,65;11652,00;6996,88;-;-;-;-;-;-;4940,16;-;-;51072,31
"313800 Laranjal";119117,99;128311,69;127257,78;127010,16;123138,10;105994,74;65142,48;92784,75;82547,70;93640,29;126000,29;69838,17;28978,92;1289763,06
"313820 Lavras";6437474,60;8684253,87;9272599,95;10725590,49;10855635,46;10349679,83;9094178,78;9302036,77;9225784,16;9765029,28;9267904,62;9800985,40;5832077,54;118613230,75
"313840 Leopoldina";4008001,38;4697953,79;4903008,71;5454254,24;5353449,65;5232326,64;5613151,64;3408128,78;3181669,65;3172094,31;3153836,13;3465784,28;2609078,83;54252738,03
"313850 Liberdade";111498,76;99886,33;99420,03;120864,85;104918,20;55342,89;-;-;-;-;-;-;-;591931,06
"313860 Lima Duarte";410455,61;436159,53;502298,95;500895,06;494597,34;481566,99;467435,08;297020,71;350415,53;363208,28;367760,58;375899,36;194274,35;5241987,37
"313880 Luz";458696,66;480903,04;523676,56;523254,12;485561,48;482982,49;507163,84;483106,48;656541,38;617242,01;642747,91;887564,93;448460,19;7197901,09
"313890 Machacalis";347949,43;370630,86;384267,12;365654,31;377251,80;360021,76;368412,05;351715,05;300838,16;344041,38;329808,59;290229,40;123597,90;4314417,81
"313900 Machado";718874,21;865908,03;865854,69;880652,18;689421,98;520218,00;652840,93;684200,50;604572,86;739417,13;833717,36;749826,69;517415,39;9322919,95
"313920 Malacacheta";748524,49;783874,26;871217,41;894518,66;838928,74;862784,57;895051,05;869170,20;823316,84;800097,78;766346,68;853692,86;420160,07;10427683,61
"313930 Manga";742671,20;810117,95;807535,52;810134,33;889156,69;1029433,01;954596,73;1160668,30;1216445,91;1022323,04;1008908,60;987863,62;484652,03;11924506,93
"313940 Manhuaçu";4092181,26;5299717,59;5563740,69;6003556,45;6213935,53;6709527,40;7247029,80;7485550,01;8643724,00;8118199,09;8426058,72;9149303,50;6333551,08;89286075,12
"313950 Manhumirim";1651835,16;1949217,39;2900495,54;2820747,84;2809909,38;2649881,71;2722633,32;2609897,73;2483954,46;2524708,56;2327355,98;2520942,58;1631340,67;31602920,32
"313960 Mantena";812937,66;1051654,87;1062938,34;983262,43;1014564,54;1047955,43;817138,59;1087531,83;999192,81;1048240,76;1045442,50;1116988,81;414265,38;12502113,95
"313980 Mar de Espanha";371914,80;418872,06;437171,21;421236,05;363381,07;371087,44;349703,41;328082,06;318534,69;348046,25;301487,01;317717,19;187312,62;4534545,86
"313990 Maria da Fé";167197,70;163347,33;170723,43;163373,70;129767,34;120021,93;90181,02;77878,52;102354,06;133888,89;154266,04;137734,42;59108,58;1669842,96
"314000 Mariana";1125038,42;1266366,85;1244823,12;1237609,37;1239402,13;1441797,83;1689913,91;1511396,76;1475455,83;1721038,27;1709782,66;1698070,50;979712,81;18340408,46
"314050 Martinho Campos";205019,91;192703,25;199585,61;196975,19;180053,07;148766,43;148584,71;127808,59;140440,17;141159,52;118850,41;116650,84;65785,74;1982383,44
"314070 Mateus Leme";1024250,00;972931,97;1087259,25;978380,26;768713,71;981689,11;1367557,69;1102512,54;831210,37;824973,06;867157,23;748966,27;368936,82;11924538,28
"314090 Matipó";303934,64;329509,03;374861,13;374496,56;407273,67;376884,17;283379,59;219787,80;276406,16;445419,64;374399,25;373140,20;413732,80;4553224,64
"314110 Matozinhos";789232,08;747741,84;767414,50;770283,18;667299,87;136168,05;410725,65;396016,60;444914,31;462791,67;486230,38;482712,23;201880,38;6763410,74
"314120 Matutina";28328,43;13193,02;20881,61;25741,77;18023,30;20413,00;22488,72;19653,55;19792,02;23508,70;11514,43;16135,79;2165,57;241839,91
"314140 Medina";664185,56;662131,54;672378,04;667281,53;696244,95;617779,77;602110,90;633593,24;661775,88;788727,71;817040,66;1360541,23;538610,66;9382401,67
"314150 Mendes Pimentel";217078,56;257853,90;250104,98;241130,00;255644,13;259390,01;266404,04;220699,47;221907,46;222152,22;222017,81;222898,27;148187,86;3005468,71
"314160 Mercês";235190,26;258897,64;247615,41;259083,65;269422,64;271495,23;268626,54;266407,97;260751,95;268708,66;264705,69;271021,80;134660,90;3276588,34
"314180 Minas Novas";1197393,43;1198016,29;1239861,85;1296641,96;1149793,10;1189333,98;1277062,93;1187149,77;1316518,05;1315037,75;1372744,31;1566047,47;748492,84;16054093,73
"314190 Minduri";43028,79;45175,62;45595,57;50171,42;31253,99;22261,73;25008,94;30790,24;23373,44;31357,65;21799,77;34390,58;20706,29;424914,03
"314200 Mirabela";832024,09;821695,69;905660,81;894608,77;899518,58;886227,95;904699,55;855689,20;776493,44;663291,66;685177,13;795348,99;321675,08;10242110,94
"314210 Miradouro";244189,55;270202,43;285155,49;254647,87;268068,00;-;-;-;-;-;-;-;-;1322263,34
"314220 Miraí";283599,14;349630,69;385229,10;367406,02;358069,38;356029,77;357414,58;338910,08;311488,92;339543,87;295387,38;322273,44;176261,16;4241243,53
"314240 Moema";361808,36;393735,48;385746,27;364067,12;230714,19;189808,72;395474,46;325486,78;141485,10;94384,37;144905,54;153772,08;87253,36;3268641,83
"314260 Monsenhor Paulo";106361,14;125214,63;133536,87;135346,26;138933,48;140913,05;117991,19;108617,95;47416,15;148583,42;120738,41;158175,96;77550,55;1559379,06
"314270 Montalvânia";438385,99;465082,54;502533,80;470285,67;529408,07;454284,64;456727,54;440501,69;459141,65;461108,66;462368,36;512736,70;286713,52;5939278,83
"314280 Monte Alegre de Minas";283224,07;294334,73;310900,28;382882,78;364052,81;374215,49;415747,44;459556,43;491075,26;451439,02;414067,65;440277,36;264486,57;4946259,89
"314290 Monte Azul";955169,34;843103,93;853812,19;944442,99;847871,70;879601,69;960240,47;983743,19;929742,74;1090068,73;1410722,60;1746656,04;778598,53;13223774,14
"314300 Monte Belo";221314,51;243443,53;239380,05;214391,69;228418,88;231753,33;228850,69;249098,48;239258,97;216289,72;187220,60;208875,08;84667,95;2792963,48
"314310 Monte Carmelo";1677240,19;1686767,97;1731363,47;1777250,35;1825231,99;1942931,02;2184032,91;2185831,93;2013880,59;1908828,88;2332947,07;2557566,57;1525866,38;25349739,32
"314320 Monte Santo de Minas";528791,59;505030,14;527960,40;503795,51;536156,58;532215,37;518492,02;509133,69;511369,95;537519,82;545942,88;620733,85;333785,85;6710927,65
"314330 Montes Claros";40106402,42;52734228,87;54015079,59;64552122,18;66108878,51;71869638,55;75639487,35;77920395,59;77285406,51;78428508,87;76105839,71;75180775,69;48464350,01;858411113,85
"314350 Morada Nova de Minas";92284,10;107098,50;103912,44;108347,00;100872,42;90359,78;95819,42;97443,96;94279,24;107188,32;88628,57;94024,40;54177,22;1234435,37
"314370 Morro do Pilar";34126,27;11545,84;-;-;-;-;-;-;-;-;-;-;-;45672,11
"314390 Muriaé";17200526,14;19486940,00;21457410,29;21344491,12;26309419,97;32898579,62;36111634,83;37528901,18;39010467,26;36692625,55;38480194,58;38522439,33;26000511,49;391044141,36
"314400 Mutum";629884,78;638201,13;686015,77;687533,65;708569,18;703761,79;716311,98;779826,82;880429,17;964917,96;902904,62;470250,08;258742,95;9027349,88
"314410 Muzambinho";447199,17;474652,73;415815,99;457879,81;452389,64;529799,71;664725,31;525373,24;565701,59;566662,97;564371,16;568384,69;324991,51;6557947,52
"314430 Nanuque";1024785,81;977916,72;995963,09;1057090,99;1019946,16;916177,65;1043107,81;851178,18;682116,24;950719,61;1071231,64;1125557,27;818284,72;12534075,89
"314440 Natércia";54338,20;68814,59;72458,14;42253,83;52623,21;14611,19;-;-;-;-;-;-;-;305099,16
"314450 Nazareno";28113,94;23422,27;50904,09;25150,18;30899,96;30591,08;37521,06;39006,97;42460,07;35333,98;39026,85;49440,69;37815,62;469686,76
"314460 Nepomuceno";430486,18;436275,68;454776,59;446141,99;499271,75;449096,45;438590,96;493043,29;471100,47;450305,50;456827,64;367562,41;182601,97;5576080,88
"314470 Nova Era";235990,28;237630,72;230648,86;203541,55;215890,69;172919,82;108747,04;144466,11;116128,95;205398,04;161592,28;199669,44;102984,05;2335607,83
"314480 Nova Lima";2084883,55;2460543,45;2609823,98;2675916,79;2608689,95;2999018,86;3304429,53;3317592,66;3670329,81;3477474,56;3199491,69;3672691,49;2349801,82;38430688,14
"314500 Nova Ponte";128900,37;167009,02;160988,45;161557,87;156387,38;146240,88;136198,29;159690,25;126764,06;180257,34;168938,04;131870,89;94402,38;1919205,22
"314510 Nova Resende";285821,70;227100,26;252550,93;224990,36;232092,58;267529,30;284623,39;291523,41;290310,76;296742,94;312313,97;250085,78;125118,86;3340804,24
"314520 Nova Serrana";979562,89;974804,04;963990,38;1034181,62;800237,93;671625,82;1432850,44;1167811,34;1278376,54;1318321,62;1559393,15;1719708,00;1027994,45;14928858,22
"314530 Novo Cruzeiro";552820,34;635816,19;567344,57;555488,69;596239,39;551922,40;558943,58;508352,38;484955,99;525576,19;447604,76;547941,24;254492,24;6787497,96
"314560 Oliveira";1112510,45;1194999,42;1289057,64;1015916,48;1140993,70;2446751,57;3493745,00;3725727,23;4215019,68;3757780,98;3490437,02;3618422,10;2631995,11;33133356,38
"314590 Ouro Branco";429509,22;520388,09;565466,35;646958,18;549194,17;415277,45;394720,61;414100,18;367805,09;406533,54;387802,61;319553,70;138957,16;5556266,35
"314600 Ouro Fino";1067498,24;1169196,06;1095815,29;1000780,76;1108458,49;1163815,75;1474358,92;1369740,40;1473126,80;1271457,05;1181288,78;1391276,11;741633,38;15508446,03
"314610 Ouro Preto";1640335,79;2059092,49;2826000,77;3581674,22;3516614,55;3671913,91;4121457,41;4018148,51;4485816,71;4833764,75;4885383,41;4835289,59;4017315,85;48492807,96
"314630 Padre Paraíso";559783,16;533692,16;636871,36;607382,50;608816,46;594813,07;572139,54;532404,52;579339,49;628406,69;663236,46;716514,00;346294,55;7579693,96
"314650 Pains";99735,45;90468,16;96566,76;85097,02;85803,66;86001,75;59361,26;80717,78;96741,37;87254,05;92657,13;101461,68;59859,47;1121725,54
"314670 Palma";166339,92;171282,11;171262,20;164714,97;177103,25;149654,55;149403,23;157091,83;153159,16;122629,32;118724,51;108448,14;75197,85;1885011,04
"314710 Pará de Minas";3228361,08;3163661,32;3722018,47;4584347,89;3864105,89;4492447,05;4108910,42;4252209,87;4345809,42;4310835,43;5082767,14;5659572,46;3780067,00;54595113,44
"314700 Paracatu";1364912,14;1708775,23;2384284,18;2694963,99;2446104,48;1929988,68;2970874,09;3035478,88;2777906,17;3486788,59;3810198,31;4086925,93;3054287,82;35751488,49
"314720 Paraguaçu";290457,23;293296,63;298388,44;293060,81;314422,11;331758,81;321287,48;279257,67;255450,78;306619,73;349461,83;322080,47;197954,23;3853496,22
"314730 Paraisópolis";489763,96;523866,77;534198,43;388244,04;427620,11;490693,34;453093,03;445162,79;448233,07;445781,61;364754,61;310483,06;186029,29;5507924,11
"314740 Paraopeba";406694,05;373734,24;393112,87;337214,98;256589,14;-;-;-;-;-;-;-;-;1767345,28
"314760 Passa Quatro";411544,57;450092,25;493522,69;489779,08;469987,93;494882,90;466122,21;505147,31;423036,32;366722,16;372583,77;373659,51;200500,48;5517581,18
"314770 Passa Tempo";143028,62;144603,17;148059,59;156991,99;156814,73;156809,85;157015,01;156889,00;156758,01;156853,75;156914,46;136430,70;89425,94;1916594,82
"314750 Passabém";42374,06;34807,87;35112,72;42586,66;36798,51;31512,81;10660,12;16894,15;21455,37;26157,64;37435,34;13506,03;10469,05;359770,33
"314790 Passos";10697742,17;15315238,60;17117213,91;19410451,62;20942683,04;23222265,66;27474752,07;31140788,92;35744537,21;33863725,86;35376999,99;36897440,07;24274221,19;331478060,31
"314800 Patos de Minas";10579480,22;15657651,55;16454240,21;20512043,24;22524126,49;22492419,25;21862133,66;24118725,27;24366182,31;22987408,10;19195439,83;16496569,14;12061995,24;249308414,51
"314810 Patrocínio";3983603,12;3785876,73;4365717,51;4496416,31;4754063,66;4865744,96;5143821,77;5628731,33;6180997,66;6900496,89;7130096,57;7332993,26;5526182,75;70094742,52
"314820 Patrocínio do Muriaé";84279,99;112083,22;116497,54;121221,76;103602,44;-;-;-;-;-;-;-;-;537684,95
"314850 Pavão";233229,92;316135,55;348441,28;341884,27;308277,66;155433,71;-;-;-;-;-;-;-;1703402,39
"314860 Peçanha";522121,24;622615,31;635648,67;653854,85;525386,41;768376,61;1005005,86;933054,53;695948,97;692578,98;930504,30;975884,92;434815,96;9395796,61
"314870 Pedra Azul";951193,50;1337400,00;1128194,29;1183773,36;1069517,37;1052408,17;1171331,88;1083818,19;1107506,36;1150973,11;1189874,55;1299728,01;685983,59;14411702,38
"314910 Pedralva";99268,13;89244,19;101765,61;94236,53;87716,83;46318,12;75671,42;87969,29;80623,34;93207,38;81204,01;97871,59;61479,98;1096576,42
"314920 Pedrinópolis";65494,86;79444,27;82791,99;45560,41;-;-;-;-;-;-;-;-;-;273291,53
"314930 Pedro Leopoldo";1114449,44;994098,74;1176632,77;1303572,94;1356516,03;1284512,15;1420131,48;1461106,86;1349223,51;1447947,25;1493292,47;1329773,76;773117,11;16504374,51
"314980 Perdizes";357180,27;415849,44;448241,67;450774,89;450226,11;363028,36;428022,96;426618,79;366281,43;367060,27;366779,64;367339,25;212384,28;5019787,36
"314990 Perdões";338214,27;340320,70;368235,82;386953,64;414379,46;418782,32;352801,78;382411,92;319887,22;313069,55;390159,29;382994,40;167558,95;4575769,32
"315030 Piedade do Rio Grande";53353,98;59166,54;59356,75;60455,41;55103,14;54308,39;52946,37;55388,01;56227,48;56167,40;56306,62;57237,48;28512,25;704529,82
"315050 Pimenta";62811,48;38022,06;52111,52;56088,59;51660,54;20403,00;18754,64;31125,26;28332,88;32090,38;35379,52;44002,93;27884,35;498667,15
"315080 Piranga";457611,53;418457,71;404406,19;398926,77;415271,77;377463,50;333692,29;298911,37;262007,95;235410,01;213102,91;250464,33;148726,51;4214452,84
"315110 Pirapetinga";284788,44;307126,56;316707,86;326860,35;305094,55;312579,40;297767,57;308237,20;248092,93;242082,57;251428,02;242003,31;154845,04;3597613,80
"315120 Pirapora";1565546,68;1788248,43;3189042,69;3953077,89;3481985,87;4145870,37;4437959,98;4695365,47;4687711,18;5295407,54;5996620,32;6099048,12;4075621,44;53411505,98
"315140 Pitangui";615664,87;740348,77;806656,21;818669,64;763885,77;661964,49;809914,08;751346,19;699888,17;677143,15;724239,57;756027,09;501615,90;9327363,90
"315150 Piumhi";1277835,40;1292789,69;1297689,58;2462588,50;3049598,05;3150228,78;3120063,60;3290064,25;2759851,44;3240950,58;3832509,96;3919998,08;2433467,01;35127634,92
"315170 Poço Fundo";291879,79;249523,89;254753,82;233308,23;230163,74;222043,25;299830,80;259814,63;236833,07;293430,78;285089,82;444141,61;203831,12;3504644,55
"315180 Poços de Caldas";11289793,87;16513521,29;17351606,53;17497338,66;20917688,18;23272746,85;24642049,73;23940934,64;23404944,92;26665195,96;28302462,25;28946830,34;18503253,24;281248366,46
"315190 Pocrane";38367,21;27374,16;28335,06;27637,05;32311,03;61839,44;82031,69;103078,59;69546,61;71768,83;63279,94;37083,91;36626,88;679280,40
"315200 Pompéu";322227,52;318570,58;424375,83;439396,98;497079,44;625928,33;836272,79;570821,82;565884,64;591419,34;646158,03;587930,17;257778,24;6683843,71
"315210 Ponte Nova";7374025,23;8180249,60;9304286,27;10123875,80;11080849,35;13530760,39;16712489,15;15984917,80;15995187,92;16928395,35;18361932,51;16868544,88;12156303,12;172601817,37
"315220 Porteirinha";1077477,01;1102873,94;1076990,98;1153449,19;1023858,24;938133,01;712284,78;660001,59;761376,45;1036129,09;1008116,84;882382,66;524575,97;11957649,75
"315230 Porto Firme";90928,89;107582,38;121857,63;116467,43;50276,48;-;-;-;-;-;-;-;-;487112,81
